t;ax;ay;az;distF;distB;distL;distR;alpha;powerL;powerR;
381;0.627626;0;9.92433;90.631;10.4069;64.25;31.5259;212.94;0;0;
402;0.588399;0;9.92433;89.8379;10.3724;64.2155;31.5948;213.668;0;0;
423;0.627626;0.0392266;9.8851;90.2345;10.4069;64.2328;30.681;212.8;0;0;
443;0.588399;0.0392266;9.92433;90.269;10.0103;64.25;30.2155;213.243;0;0;
464;0.588399;0.0392266;9.96356;89.3896;10.0103;63.8362;28.4914;214.268;0;0;
484;0.627626;0;9.8851;89.8379;10.4241;64.2672;30.2328;213.515;0;0;
505;0.588399;0.0392266;9.92433;89.8034;10.0103;64.2845;30.2155;213.534;0;0;
523;0.627626;0;9.8851;46.3207;10.3897;64.2672;31.1121;214.004;0;0;
543;0.627626;0.0392266;9.8851;83.6138;10.4069;64.2328;31.5259;212.809;0;0;
561;0.627626;0.0392266;9.92433;45.8724;9.95862;61.4397;32.8534;213.823;0;0;
581;0.627626;0;9.92433;84.7;10.4241;64.2328;34.0603;213.689;0;0;
602;0.549172;0.0392266;9.8851;89.8379;10.3897;64.6466;31.9397;213.553;0;0;
623;0.627626;0;9.8851;90.2;10.0103;64.2672;34.5431;213.104;0;0;
644;0.627626;0.0392266;9.8851;89.8379;10.4069;64.681;33.2672;213.259;0;0;
665;0.588399;0;9.8851;89.7862;10.4241;64.2155;33.6638;213.243;0;0;
685;0.588399;0;9.92433;90.2345;10.4241;64.5948;31.4914;213.515;0;0;
706;0.588399;0;9.8851;89.8034;10.4069;64.5948;33.681;213.823;0;0;
727;0.588399;0.0392266;9.8851;89.8034;10.4069;64.6466;34.0776;213.078;0;0;
747;0.627626;0;9.92433;90.2;10.4069;64.6121;30.5948;213.823;0;0;
765;0.627626;0;9.92433;47.131;10.0103;64.2155;30.6293;213.846;0;0;
786;0.588399;0;9.8851;80.3379;10.3897;64.6293;32.4052;214.396;0;0;
806;0.588399;0.0392266;9.8851;89.8034;10.4241;64.5776;31.8534;214.11;0;0;
825;0.588399;0.0392266;9.8851;89.4414;10.4069;41.7328;30.5948;213.091;0;0;
846;0.627626;0;9.8851;86.6483;10.4414;64.1983;31.1293;213.078;0;0;
865;0.588399;0;9.92433;89.4069;10.4069;41.7155;30.1466;213.534;0;0;
884;0.666852;0;9.80665;89.8034;10.4241;45.8879;30.6293;214.24;0;0;
905;0.588399;0;9.84588;89.7862;10.3897;64.6638;31.4914;214.085;0;0;
926;0.627626;0;9.92433;89.3724;10.4069;64.5948;33.25;214.555;0;0;
946;0.627626;0.0392266;9.92433;90.2172;10.4069;65.0259;31.9397;214.426;0;0;
967;0.627626;0;9.92433;89.8207;10.4241;64.6293;32.8707;213.648;0;0;
988;0.627626;0;9.8851;88.9414;10.4069;64.6121;33.2845;213.228;0;0;
1008;0.627626;0;9.8851;90.2172;10.4069;64.6121;32.8362;213.648;0;0;
1029;0.627626;0;9.8851;90.2172;10.4241;64.6466;31.0948;214.367;0;0;
1050;0.549172;0.0392266;9.92433;90.2;10.4069;64.2155;30.2328;213.823;0;0;
1069;0.588399;0.0392266;9.8851;90.6483;10.4069;43.3879;32.819;214.367;0;0;
1088;0.509946;0.0392266;9.8851;90.6483;10.4069;43.4052;30.6293;213.515;0;0;
1108;0.627626;0.0784532;9.96356;89.3552;10.4069;45.9914;31.0259;214.681;0;0;
1126;0.588399;0;9.8851;47.1483;10.4241;64.6121;32.3534;214.11;0;0;
1146;0.666852;0;9.8851;81.0276;10.4069;64.1983;32.819;213.823;0;0;
1164;0.627626;0;9.84588;47.631;10.4069;64.681;31.0948;213.38;0;0;
1185;0.588399;0;9.92433;90.2172;10.3897;64.5948;31.5086;213.955;0;0;
1206;0.627626;-0.0392266;9.92433;90.2517;10.4241;65.0948;32.7672;214.555;0;0;
1227;0.509946;0.0392266;9.92433;90.2;10.4069;65.0259;32.8017;213.243;0;0;
1246;0.588399;0;10.042;89.8034;10.4069;43.4397;31.9052;212.94;0;0;
1265;0.627626;0.0392266;9.96356;89.8034;10.4069;42.2155;34.1121;213.71;0;0;
1284;0.627626;0;9.92433;89.7862;10.4069;42.6121;31.1121;214.004;0;0;
1304;0.588399;0;9.84588;89.8034;10.4241;43.0259;33.2328;213.091;0;0;
1324;0.627626;0;9.8851;89.8207;10.4241;64.6121;32.3707;213.243;0;0;
1344;0.588399;0;9.8851;89.8379;10.3897;44.1638;34.1121;213.668;0;0;
1365;0.627626;0;9.8851;90.2517;10.0103;64.2672;31.4569;213.364;0;0;
1385;0.627626;0.0392266;9.92433;89.8207;10.4069;64.6293;31.4741;213.979;0;0;
1406;0.588399;0;9.8851;90.2517;10.4241;64.6293;31.9741;213.823;0;0;
1424;0.588399;0;9.92433;48.0276;9.94138;61.8534;33.2845;213.38;0;0;
1444;0.627626;0.0392266;9.92433;89.3724;10.4241;64.1983;31.5776;213.228;0;0;
1462;0.588399;0.0392266;9.92433;48.0276;9.9931;62.9914;30.2155;214.555;0;0;
1483;0.627626;0.11768;9.92433;90.6655;10.4241;64.6293;30.6293;213.397;0;0;
1503;0.549172;0.0392266;9.92433;89.8207;10.4069;64.6293;31.5086;213.415;0;0;
1524;0.588399;0.0392266;9.92433;89.8207;10.4069;64.6293;31.1121;212.951;0;0;
1544;0.588399;-0.0392266;9.80665;90.2;10.4069;64.6121;31.9052;213.515;0;0;
1565;0.627626;0;9.84588;90.6828;10.4069;64.6121;31.4914;213.689;0;0;
1586;0.627626;0;9.92433;89.7517;10.0103;64.2155;31.5086;213.38;0;0;
1606;0.627626;0;9.92433;90.2345;10.4069;64.2155;30.6466;213.515;0;0;
1626;0.627626;0;9.92433;89.8034;10.3897;44.6638;33.2672;213.979;0;0;
1646;0.627626;0;9.8851;90.2172;10.4069;64.6121;31.5259;212.642;0;0;
1664;0.627626;0.0784532;9.76742;47.2;9.9931;63.819;29.7672;213.689;0;0;
1685;0.549172;0.0392266;9.8851;90.2;10.4069;64.1983;31.4914;213.078;0;0;
1703;0.627626;0.11768;9.92433;47.6138;9.9931;59.181;30.25;213.228;0;0;
1723;0.588399;0.0392266;9.84588;88.8379;10.4069;64.25;29.819;212.657;0;0;
1743;0.627626;-0.0392266;9.8851;89.4069;10.0276;64.2672;25.9052;213.846;0;0;
1764;0.666852;0;9.92433;89.7862;10.3897;64.1983;31.9569;213.801;0;0;
1784;0.627626;0;9.92433;89.8034;10.4069;64.6293;29.8534;213.397;0;0;
1805;0.627626;0.0392266;9.96356;90.2345;10.4069;64.5948;31.5948;213.846;0;0;
1824;0.588399;0.0392266;9.92433;89.4241;10.4069;45.9052;32.8017;213.689;0;0;
1843;0.627626;0;9.61052;89.8379;10.3897;42.1121;31.0603;214.11;0;0;
1864;0.784532;0;9.61052;89.7862;10.4069;64.681;29.3879;215.756;50;50;
1885;1.29448;0.353039;9.37516;89.8207;10.0103;64.25;29.3707;216.519;50;50;
1905;4.04034;0.0784532;10.552;89.7517;10.0966;64.2328;26.3362;215.641;50;50;
1925;4.19725;-0.980665;9.64974;89.2862;9.88966;48.181;34.0776;213.979;50;50;
1944;-0.588399;0.470719;8.86521;81.4241;12.7517;48.6293;34.9914;213.689;50;50;
1963;0.392266;-0.23536;8.98289;89.2517;9.78621;38.1638;32.9741;211.165;50;50;
1983;3.0989;-0.706079;9.41438;74.4069;10.3897;59.3707;29.2328;211.62;50;50;
2002;1.49061;-0.156906;9.84588;89.2172;10.1828;46.2672;33.8362;210.736;50;50;
2021;1.64752;0.470719;9.57129;88.0448;10.0276;43.319;31.75;211.034;50;50;
2041;2.19669;0.941438;9.06135;88.131;10.3379;54.5603;30.0776;210.275;50;50;
2060;-0.0392266;-1.68674;10.1597;87.3724;10.6655;41.5086;31.0776;212.635;50;50;
2080;-1.13757;-0.392266;9.68897;87.8552;10.5621;48.8707;33.3879;212.635;50;50;
2099;0.470719;0.431493;10.0812;87.0793;10.9069;44.3534;30.0948;212.621;50;50;
2119;1.68674;0.784532;10.552;87.1655;11.3207;64.2155;30.0948;213.737;50;50;
2140;0.313813;-0.313813;8.47295;86.3552;11.7345;64.1638;33.1466;212.065;50;50;
2159;-1.64752;-0.588399;9.68897;86.3034;11.7345;49.4397;28.7672;211.503;50;50;
2179;-0.941438;-0.0392266;9.10057;86.7;12.5793;46.3017;31.4224;212.065;50;50;
2198;2.43205;0;11.768;85.7862;12.5966;44.4397;33.6466;210.936;50;50;
2218;2.39282;0.23536;9.33593;84.1138;13.0103;64.4569;21.6638;211.21;50;50;
2238;0.0392266;-0.470719;12.4741;85.3207;13.8897;50.3017;36.9397;210.801;50;50;
2259;-2.58896;0.706079;8.78676;84.8207;15.3034;64.0431;36.0776;210.208;50;50;
2279;-1.13757;0.353039;10.0028;84.3207;15.4241;63.9569;24.2672;210.498;50;50;
2299;1.09834;0.980665;9.80665;82.9586;15.8552;48.0086;35.681;209.97;50;50;
2318;2.47128;0.392266;10.6304;81.6483;15.131;63.8879;20.0603;210.384;50;50;
2338;0.274586;-1.45138;8.70831;81.6483;15.5103;47.5776;36.2155;209.786;50;50;
2358;-1.09834;-0.392266;10.4735;81.0621;16.8379;63.4741;36.2155;210.517;50;50;
2379;-0.823759;-0.23536;9.7282;81.8379;14.6828;63.819;35.4397;211.199;50;50;
2399;1.49061;0.549172;10.6696;80.4759;18.3379;64.2155;19.9397;211.21;50;50;
2419;2.39282;0.784532;10.1989;80.4241;18.8552;64.1983;19.8879;209.272;50;50;
2439;0.784532;-0.11768;9.1398;79.1138;18.4414;63.7672;34.6983;209.495;50;50;
2460;0.627626;0.706079;11.0619;79.3896;14.7;63.6983;36.0086;210.342;50;50;
2479;-0.706079;0.392266;6.47239;77.9931;20.3724;63.681;17.4914;209.862;50;50;
2499;1.68674;-0.11768;11.0227;77.9414;20.8897;64.0431;15.8534;208.27;50;50;
2519;2.90277;-0.470719;9.7282;76.9931;20.9931;63.5259;35.2672;209.625;50;50;
2540;1.29448;0.509946;9.02212;76.4414;21.4759;63.0603;35.75;209.625;50;50;
2559;1.1768;-1.45138;10.4735;76.3724;14.7;63.4741;22.181;208.786;50;50;
2579;1.37293;0.627626;8.98289;75.3552;23.0276;50.5776;26.319;207.426;50;50;
2599;-0.549172;-0.627626;13.4155;75.6828;23.0793;63.819;35.8707;207.609;50;50;
2619;1.45138;0.666852;9.53206;75.1483;23.5448;49.8362;28.8879;206.681;50;50;
2640;1.45138;-0.784532;10.0028;74.2862;24.5103;63.6983;35.9569;206.134;50;50;
2660;0.823759;0.23536;9.10057;74.1655;25.0621;63.2845;36.0086;208.479;50;50;
2681;2.3536;0.353039;10.0812;72.8034;25.6138;63.6121;36.0776;206.443;50;50;
2702;-0.627626;-0.588399;10.395;72.6483;26.1828;62.7672;36.5776;206.857;50;50;
2722;-2.62818;0.431493;10.7481;72.0793;26.6828;49.3707;34.9914;207.619;50;50;
2742;-1.01989;-1.13757;10.9442;71.2;27.6138;63.0603;36.6638;206.857;50;50;
2762;-0.0784532;0.392266;8.86521;71.0621;27.7172;51.2672;35.8534;207.619;50;50;
2783;1.01989;1.09834;10.552;70.5448;28.2345;62.9569;36.75;208.043;50;50;
2803;-0.23536;-0.0392266;8.62985;69.631;28.7862;52.5431;36.4052;208.565;50;50;
2824;0.392266;0;9.84588;69.4759;29.3034;62.3879;36.0086;206.733;50;50;
2843;0.470719;-1.05912;12.9056;68.4759;13.8379;62.3707;36.0776;207.559;50;50;
2863;0.274586;-0.509946;7.02156;68.3897;30.3897;46.2155;36.5431;206.733;50;50;
2882;3.88343;1.05912;10.042;67.4759;14.7;57.1638;32.75;205.939;50;50;
2903;2.43205;-0.156906;9.06135;67.3724;31.4069;57.1983;36.681;205.811;50;50;
2922;1.64752;0.392266;9.37516;66.8897;13.4414;62.9569;37.1638;207.175;50;50;
2943;1.64752;-0.156906;10.1597;65.8379;32.5276;62.8707;37.2155;205.483;50;50;
2963;0.902212;0.666852;9.8851;65.2862;33.4586;57.0086;36.9052;205.178;50;50;
2984;1.05912;-0.745305;10.1205;64.769;33.9931;55.3707;37.0086;204.723;50;50;
3004;0.549172;-0.706079;9.61052;64.7;34.5276;61.8362;37.0086;205.514;50;50;
3023;0.392266;-0.0392266;10.0812;63.769;14.3034;48.8534;36.6983;205.671;50;50;
3043;-0.509946;1.37293;9.84588;63.269;35.131;62.5776;36.7328;204.526;50;50;
3064;0.509946;1.72597;9.53206;63.1828;35.6483;56.4397;37.25;204.292;50;50;
3084;0.902212;-0.627626;10.2381;62.269;36.5621;49.0259;38.1293;202.549;50;50;
3104;1.21602;-2.74586;10.2774;61.8207;37.0448;52.0431;37.8362;200.787;50;50;
3124;0.392266;-0.196133;10.042;61.3034;36.7345;61.8362;37.4914;202.831;50;50;
3144;0.980665;0.823759;9.80665;60.8379;37.6483;51.319;37.1466;203.814;50;50;
3165;1.05912;0.509946;9.53206;60.3379;38.5448;62.5603;37.5948;201.127;50;50;
3184;0.627626;-0.706079;10.0028;59.8207;14.2517;51.9914;31.9741;199.441;50;50;
3204;0.0392266;0.11768;9.61052;58.9586;39.0621;51.3534;37.681;198.2;50;50;
3224;0.980665;0.509946;9.7282;58.9069;39.5621;52.3879;37.7845;197.9;50;50;
3244;1.41216;0.431493;9.80665;58.8034;40.4586;53.4914;37.8362;197.122;50;50;
3264;0.666852;-0.196133;9.8851;58.3207;40.9931;56.3707;37.9052;197.429;50;50;
3285;0.666852;0.549172;10.1597;57.8724;41.0448;61.25;38.4224;197.368;50;50;
3303;0.941438;-1.37293;10.1597;57.3552;14.7172;55.4224;32.7845;193.339;50;50;
3322;0.274586;-1.29448;9.68897;56.9069;15.1138;52.0603;38.1638;190.58;50;50;
3341;0.588399;-0.196133;9.8851;57.3897;14.6828;51.6638;32.5086;190.124;0;0;
3361;0.274586;1.56906;10.4343;55.9759;42.8552;57.0259;38.6638;190.091;0;0;
3382;-1.96133;0.549172;9.57129;55.5966;43.2517;60.9741;38.319;190.694;0;0;
3402;-2.54973;-0.431493;9.7282;55.2172;43.631;55.0776;38.3534;188.045;0;0;
3421;-0.823759;-0.196133;10.395;54.5448;14.7;56.7672;38.3879;189.286;0;0;
3441;-0.745305;-0.11768;9.57129;54.8207;43.5276;54.819;37.9914;188.083;0;0;
3461;0.11768;0.196133;10.0812;55.1655;44.0448;55.1983;37.9741;188.404;0;0;
3482;-0.0784532;0.196133;10.042;54.6828;43.6828;56.0776;38.0086;188.008;0;0;
3502;-0.431493;0.11768;9.68897;55.0966;44.0966;53.5086;38.0086;188.446;0;0;
3523;1.01989;-0.274586;9.8851;54.6828;43.6828;56.9397;38.819;188.49;0;0;
3543;1.3337;-0.0784532;10.0812;55.1483;44.0276;52.25;37.9914;188.49;0;0;
3563;0.588399;0.23536;9.7282;54.6655;44.0966;55.2155;38.4052;188.917;0;0;
3583;0.509946;0.196133;9.8851;55.131;44.0448;54.3534;38.0086;188.468;0;0;
3604;0.706079;-0.11768;9.96356;54.7;44.4931;54.819;37.9914;188.446;0;0;
3624;0.666852;-0.11768;9.8851;54.7;44.0966;55.0948;38.0259;188.026;0;0;
3644;0.509946;0.0784532;9.96356;54.6655;44.5103;55.2845;38.0086;188.917;0;0;
3665;0.666852;0.196133;9.84588;54.7;44.0621;54.6983;38.3879;189.768;0;0;
3685;0.745305;0;9.92433;55.0966;44.0793;54.8017;38.4569;188.468;0;0;
3705;0.588399;-0.0784532;9.92433;54.2862;44.0621;54.2845;37.9741;190.091;0;0;
3726;0.549172;0.0392266;9.84588;54.6655;44.0966;56.9741;38.4052;188.891;0;0;
3746;0.666852;0.0784532;9.92433;55.1483;44.0621;51.819;38.4741;190.58;0;0;
3767;0.627626;0.0392266;9.92433;55.0966;44.0448;55.6638;38.4052;189.286;0;0;
3787;0.549172;0;9.8851;54.7172;45.9931;54.75;38.8534;188.818;0;0;
3808;0.588399;0;9.8851;54.7172;44.0966;55.9914;38.0086;189.645;0;0;
3828;0.706079;0.0784532;9.92433;54.6655;44.0793;55.5603;38.0086;187.59;0;0;
3848;0.627626;0;9.8851;54.6655;44.4586;56.0776;38.4052;188.866;0;0;
3869;0.627626;0;9.92433;55.131;44.0621;54.7672;37.9741;188.383;0;0;
3889;0.666852;-0.0392266;9.92433;55.131;44.0276;54.819;38.4224;188.77;0;0;
3909;0.627626;0.0392266;9.92433;55.131;44.0621;53.9397;37.9741;189.645;0;0;
3930;0.549172;0.0784532;9.61052;54.6483;44.0448;60.4224;38.819;187.972;0;0;
3950;0.588399;0.0392266;9.92433;55.1138;44.0793;56.0431;38.0259;189.152;0;0;
3971;0.588399;0;9.92433;54.6655;44.4414;55.681;38.8017;190.091;0;0;
3991;0.627626;0;9.68897;54.6828;44.0966;54.8017;38.0259;189.615;0;0;
4011;0.666852;0.0392266;9.96356;55.5448;44.0621;53.4914;38.0431;188.425;0;0;
4030;0.666852;0;9.92433;54.2517;14.269;60.3534;38.8707;189.259;0;0;
4050;0.588399;0.0392266;9.8851;55.5793;44.0793;53.4914;38.0259;189.615;0;0;
4071;0.627626;0;9.8851;54.6655;44.0621;55.7328;38.0086;188.891;0;0;
4091;0.588399;0.0392266;9.92433;54.7345;44.0448;54.7672;37.5948;189.586;0;0;
4110;0.588399;0;9.8851;54.7;14.7172;60.319;38.4397;188.866;0;0;
4131;0.627626;0;9.92433;54.6828;44.0448;61.2155;38.4224;189.615;0;0;
4151;0.627626;0.0392266;9.8851;54.7;44.0621;56.0431;38.4397;189.675;0;0;
6741;0.627626;0.0392266;9.92433;54.6483;44.0448;55.9397;38.4397;189.4;0;0;
6762;0.627626;0.0392266;9.92433;54.631;44.0276;55.1466;37.9914;187.621;0;0;
6782;0.627626;0.0392266;9.92433;54.6828;44.0448;54.7328;38.4052;188.49;0;0;
6803;0.666852;0;9.92433;54.6483;44.4069;54.0948;37.9914;192.259;-50;-50;
6824;0;0.23536;10.3558;54.6655;44.4241;56.4052;38.3879;189.675;-50;-50;
6844;-1.9221;-0.11768;9.57129;55.5793;44.4069;54.1983;37.9914;190.617;-50;-50;
6864;-0.588399;-0.23536;10.2774;54.769;43.8724;55.0948;38.3707;191;-50;-50;
6883;-0.313813;-0.196133;9.8851;54.9241;14.269;55.4914;38.3362;190.506;-50;-50;
6903;0.666852;0.156906;10.0028;54.769;43.5621;55.75;38.3362;191;-50;-50;
6923;0.549172;0.23536;10.2774;55.269;43.3724;55.319;38.319;191.794;-50;-50;
6943;-0.666852;0.11768;9.8851;55.4241;43.1483;56.2672;38.2845;192.677;-50;-50;
6964;-0.431493;0.0784532;9.92433;55.6655;42.5448;60.9569;38.2672;192.113;-50;-50;
6984;0.823759;0.274586;9.8851;55.8897;42.6828;57.0431;38.1983;194.689;-50;-50;
7005;0.902212;0.549172;10.3166;56.5793;42.4586;60.6293;38.1293;194.215;-50;-50;
7025;0.0784532;0.0784532;9.92433;56.8724;42.1655;53.8362;38.1466;194.962;-50;-50;
7044;0.0784532;0;10.2381;56.3034;14.6655;60.6983;36.4569;195.696;-50;-50;
7062;0.11768;-0.509946;10.1597;57.4414;14.7;53.6638;35.3707;193.453;-50;-50;
7081;0.706079;-0.392266;10.042;57.3034;14.6828;49.1121;37.5948;191.211;-50;-50;
7101;1.09834;0.0392266;9.76742;57.1828;40.9931;60.8707;37.9569;191.659;-50;-50;
7122;0.902212;0.627626;10.2381;58.3034;40.6828;53.1638;37.4741;194.431;-50;-50;
7142;0.23536;0.313813;10.4343;58.1828;40.3034;59.5776;37.8707;194.898;-50;-50;
7163;0.274586;-0.11768;9.92433;58.1655;39.9414;60.8879;37.8017;195.228;-50;-50;
7183;-0.0392266;0.23536;9.53206;58.9069;39.6483;55.0776;37.3362;195.768;-50;-50;
7203;0.353039;0.196133;10.6304;58.8724;39.2172;55.4052;37.6983;196.732;-50;-50;
7223;0.0784532;0.627626;9.76742;59.2345;38.5103;52.6121;37.2672;195.485;-50;-50;
7244;1.56906;0.313813;10.2381;59.4069;38.5103;56.1293;37.25;196.579;-50;-50;
7264;1.01989;-0.666852;10.3558;60.0103;38.0965;56.0948;36.8017;197.488;-50;-50;
7283;0.11768;-0.902212;9.76742;60.8207;14.2862;57.5603;29.3362;196.192;-50;-50;
7302;0.902212;-0.862985;10.1597;61.1483;37.8034;48.181;37.9569;196.886;-50;-50;
7323;1.09834;0.470719;10.2381;61.5793;36.9586;51.5086;37.8534;198.407;-50;-50;
7342;0.941438;0.156906;10.8265;61.4931;14.7172;59.9052;37.3534;197.035;-50;-50;
7362;0.549172;-0.23536;10.3558;61.8897;36.2517;49.0948;36.4741;198.153;-50;-50;
7381;0.902212;-0.431493;9.68897;62.3207;14.7172;56.6121;38.0948;199.628;-50;-50;
7401;0.902212;0.156906;9.53206;63.0793;35.4586;52.7845;36.7328;200.089;-50;-50;
7421;0.980665;1.01989;9.80665;63.0621;35.0621;55.5086;36.7155;200.263;-50;-50;
7440;0.23536;0.980665;9.10057;63.4586;14.6828;59.3017;30.9397;202.199;-50;-50;
7461;1.21602;-0.23536;9.57129;63.8724;34.269;59.8879;37.4569;201.746;-50;-50;
7481;1.05912;-1.29448;10.1205;64.631;33.8034;62.681;36.9914;202.898;-50;-50;
7502;0.627626;-1.01989;9.64974;64.6828;33.4586;55.75;37.2672;201.992;-50;-50;
7522;0.902212;1.25525;9.96356;67.0965;33.0103;53.2155;37.6638;200.946;-50;-50;
7542;0.902212;0.549172;10.3166;65.4414;32.6483;57.1293;37.181;202.131;-50;-50;
7563;1.09834;-0.313813;9.80665;65.8379;32.2172;62.5431;37.1293;201.445;-50;-50;
7584;0.902212;-0.431493;9.76742;66.6655;31.8034;63.0259;36.6983;201.494;-50;-50;
7605;0.156906;0.156906;10.3166;66.269;31.8379;62.6638;38.9914;202.267;-50;-50;
7624;0.431493;0.862985;10.3558;67.131;14.7;56.0259;35.1983;201.591;-50;-50;
